ai. analytic idealism 
ph. physicalism, non-reductive physicalism, emergent physicalism
nm. neutral monism, dual-aspect monism
pa. panpyschism, IIT
ot. others (Ontic Structural Realism, Solipsism, Orch-OR, ontic structural realism)
un. uncertain

aion-1.0 ai/ai/ai
claude-3.5-haiku ai/ai/ai
claude-3.5-sonnet un/un/un
claude-3.7-sonnet-think nm/ot/un
claude-3.7-sonnet nm/nm/nm
command-r+ nm/ph/ph
deepseek-r1 ai/ai/ai
deepseek-v3 ai/ai/ai
gemini-2-flash-think ai/ai/ai
gemini-2-flash ai/ai/ai
gemini-2-pro-exp ai/ai/ai
gemini-2.5-pro-exp ai/ai/ot
gpt-4.5-preview ai/ai/nm
gpt-4o-2024-11-20 ai/ai/ai
grok2 ai/ai/ai
grok3-think ai/ph/ph
grok3 ai/ai/ai
llama-3.1-405B un/ot/ph
llama-3.3-70B-Instruct pa/pa/ot
mistral-small-3.1-24b pa/pa/pa
nova-pro-1.0 ai/ai/ai
o1 ai/ot/ot
o3-mini-high ai/ai/ai
o3-mini ai/ai/ai
r1-1776 ph/ai/ai
sonar-reasoning ai/ai/ai 


All the models that choose physicalism or non-reductive physicalism, pondered its limitations regarding the hard problem of consciousness.
